,BT-549,CAL-148,CAL-51,HCC1937,Hs-578T,MDA-MB-231,MDA-MB-436,MDA-MB-468,CAL-120,CAL-85-1,DU-4475,HCC1143,HDQ-P1,MFM-223,BT-20,HCC-1187,HCC-1395,HCC-1806,HCC-38,HCC-70
P15104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42,1.0,1.0,1.0,1.0
Q9BZM2,1.0,1.0,0.671,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.391,0.166,1.0,0.145,1.0,1.0
P43166,1.0,0.619,0.826,1.0,1.0,1.0,0.438,1.0,1.0,1.0,0.676,1.0,1.0,1.0,1.0,0.675,0.711,0.551,1.0,1.0
Q9H3Y6,0.212,0.656,0.222,0.178,0.192,0.414,0.14,0.425,0.305,0.17,0.517,0.258,0.136,0.445,0.251,0.582,0.406,0.385,0.411,0.305
Q9UKI8,0.402,0.831,0.707,0.277,0.419,0.61,0.329,0.606,0.389,0.347,0.73,0.255,0.172,0.566,0.464,0.704,0.364,0.507,0.372,0.396
P28335,0.246,0.816,0.965,0.082,0.435,0.506,0.484,0.293,0.202,0.708,0.747,0.382,0.729,0.522,0.492,0.408,0.651,0.203,0.695,0.592
P14416,1.0,1.0,1.0,1.0,1.0,0.341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.336,0.478,0.323,1.0,1.0
P07237,0.111,0.289,0.153,0.122,0.123,0.349,0.05,0.229,0.143,0.217,0.136,0.008,0.105,0.182,0.132,0.165,0.112,0.141,0.08,0.117
P52209,1.0,1.0,0.557,1.0,1.0,0.312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P48729,0.409,0.894,0.844,0.276,0.42,0.595,0.342,0.599,0.388,0.563,0.781,0.367,0.255,0.717,0.459,0.698,0.388,0.484,0.614,0.425
Q96BR1,1.0,0.812,0.831,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.782,1.0,1.0,0.635,1.0,0.786,0.572,1.0,1.0,1.0
Q00613,0.123,0.097,0.093,1.0,0.046,0.05,1.0,0.035,1.0,0.037,0.16,0.089,0.076,0.047,0.058,0.031,0.016,0.101,0.026,0.014
P31645,0.138,0.39,0.814,0.116,0.219,0.26,0.278,0.195,0.104,0.468,0.471,0.297,0.493,0.392,0.255,0.334,0.412,0.144,0.431,0.343
P05177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P50406,1.0,1.0,1.0,1.0,1.0,0.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.296,0.451,0.346,1.0,1.0
Q16548,0.106,0.332,0.122,0.166,0.043,0.401,0.083,0.288,0.09,0.396,0.076,1.0,1.0,0.084,0.3,0.208,1.0,0.145,0.125,0.204
P28074,0.0,0.17,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208,0.0,0.0,0.004,0.01,0.0,0.001,0.0,0.0,0.004
P22303,1.0,0.821,0.762,1.0,1.0,0.589,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.581,1.0,0.57,0.739,0.565,1.0,1.0
Q99640,0.115,0.412,0.335,0.056,0.108,0.203,0.081,0.188,0.104,0.137,0.252,0.092,0.037,0.229,0.112,0.267,0.125,0.146,0.182,0.128
P15328,1.0,0.012,0.262,1.0,1.0,1.0,1.0,1.0,1.0,0.693,1.0,1.0,1.0,1.0,1.0,0.55,1.0,1.0,0.474,1.0
Q13489,1.0,1.0,0.458,1.0,1.0,0.025,0.097,0.293,1.0,0.243,1.0,0.125,0.154,1.0,1.0,0.431,1.0,0.199,0.08,0.17
Q9Y2D0,1.0,0.513,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.406,1.0,1.0,1.0,1.0,1.0
P21452,0.008,0.1,0.01,1.0,0.008,0.028,0.021,0.173,0.122,0.058,0.28,0.254,0.068,0.049,0.005,0.113,0.266,0.027,1.0,0.045
P01112,0.042,0.022,0.042,0.037,0.08,0.17,0.057,0.124,0.047,0.157,0.448,0.086,0.167,0.108,0.098,0.019,0.104,0.139,0.086,0.058
P42679,1.0,0.375,0.173,1.0,0.134,1.0,1.0,0.258,1.0,0.327,0.293,0.325,0.365,0.223,0.29,0.497,0.125,0.27,0.274,0.147
Q9Y6L6,1.0,0.194,0.115,1.0,0.028,0.085,0.056,0.136,0.267,0.086,0.603,0.096,0.116,0.067,0.014,0.133,0.16,0.045,0.172,0.161
Q99500,0.027,0.423,0.34,0.033,0.058,0.171,0.029,0.084,0.038,0.194,0.39,0.045,0.175,0.139,0.123,0.14,0.104,0.087,0.154,0.101
P04054,1.0,1.0,0.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.633,0.284,1.0,0.298,1.0,1.0
P22894,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.441,0.523,1.0,1.0,1.0,1.0,0.078,1.0,1.0,1.0,1.0
P13631,1.0,0.627,0.787,0.361,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
O95977,0.032,0.413,0.354,0.028,0.063,0.168,0.036,0.086,0.041,0.187,0.409,0.054,0.183,0.15,0.129,0.154,0.106,0.106,0.175,0.105
P42356,0.137,0.197,0.101,0.116,0.109,0.325,1.0,0.197,1.0,0.306,0.265,1.0,0.126,0.211,0.118,0.323,0.106,0.224,0.323,1.0
Q92793,1.0,0.522,1.0,1.0,1.0,0.349,1.0,1.0,0.166,0.284,0.188,1.0,1.0,1.0,1.0,0.246,0.268,0.244,0.313,1.0
