,BT-549,CAL-148,CAL-51,HCC1937,Hs-578T,MDA-MB-231,MDA-MB-436,MDA-MB-468,CAL-120,CAL-85-1,DU-4475,HCC1143,HDQ-P1,MFM-223,BT-20,HCC-1187,HCC-1395,HCC-1806,HCC-38,HCC-70
Q9Y6F1,1.0,0.316,0.111,1.0,1.0,1.0,1.0,0.18,1.0,1.0,0.347,1.0,1.0,0.392,1.0,0.43,1.0,1.0,1.0,0.263
Q13555,0.261,0.549,0.529,0.477,0.577,0.963,0.256,0.471,0.507,0.452,0.428,0.076,0.333,0.602,0.555,0.368,0.286,0.29,0.316,0.519
O60285,0.399,0.01,0.015,0.288,0.351,0.627,0.321,0.125,0.437,0.272,0.284,0.265,0.05,0.127,0.24,0.078,0.566,0.339,0.012,0.509
P15735,0.238,0.598,0.383,0.615,0.208,0.853,0.328,0.083,0.545,0.083,0.169,0.302,0.335,0.132,0.263,0.178,0.018,0.179,0.113,0.097
Q15831,0.077,0.098,0.017,0.128,0.033,0.29,0.124,0.026,0.253,0.052,0.051,0.084,0.04,0.057,0.093,0.037,0.011,0.026,0.015,0.014
Q13131,0.194,0.06,0.006,0.797,0.298,0.897,0.155,0.017,0.256,0.342,0.092,0.653,0.237,0.332,0.629,0.29,0.204,0.216,0.162,0.52
Q12866,0.531,0.78,0.543,0.427,0.567,0.917,0.445,0.458,0.37,0.341,0.782,0.532,0.246,0.698,0.753,0.719,0.637,0.478,0.545,0.66
Q9P1W9,0.375,0.579,0.809,0.427,0.285,0.891,0.603,0.235,0.593,0.557,0.736,0.46,0.453,0.319,0.372,0.451,0.245,0.481,0.349,0.175
Q00535,0.16,0.138,0.026,0.504,0.009,0.578,0.282,0.013,0.703,0.008,0.166,0.002,0.101,0.009,0.009,0.012,0.002,0.105,0.002,0.0
Q9ULX7,1.0,0.732,0.944,1.0,1.0,1.0,0.612,1.0,1.0,1.0,0.808,1.0,1.0,1.0,0.776,0.81,0.843,0.688,1.0,1.0
P08922,0.644,0.192,0.032,0.614,0.366,0.362,0.388,0.285,0.62,0.78,0.272,0.667,0.528,0.636,0.3,0.639,0.807,0.724,0.523,0.313
P37023,0.451,0.488,0.137,1.0,0.47,0.668,0.277,0.152,0.353,0.399,0.713,1.0,0.55,1.0,1.0,0.759,1.0,0.406,0.618,1.0
Q9UQM7,0.189,0.172,0.161,0.142,0.329,0.546,0.334,0.217,0.159,0.364,0.206,0.215,0.107,0.362,0.203,0.192,0.29,0.141,0.176,0.259
Q16512,0.718,0.348,0.399,0.509,0.687,0.684,0.492,0.659,0.732,0.797,0.732,0.083,0.481,0.775,0.625,0.503,0.749,0.606,0.549,0.737
P07332,0.237,0.334,0.201,0.464,0.465,0.881,0.391,0.2,0.275,0.378,0.58,0.48,0.126,0.451,0.671,0.462,0.582,0.56,0.286,0.576
Q9UHD2,0.386,0.007,0.002,0.441,0.398,0.654,0.094,0.03,0.688,0.133,0.086,0.213,0.083,0.167,0.108,0.062,0.289,0.144,0.012,0.543
P62993,0.523,0.433,0.207,0.819,0.56,0.752,0.641,0.258,0.38,0.598,0.58,0.66,0.279,0.595,0.776,0.676,0.786,0.749,0.496,0.84
P42680,0.529,0.292,0.148,0.848,0.653,0.961,0.365,0.23,0.647,0.163,0.836,0.635,0.578,0.63,0.654,0.774,0.873,0.719,0.722,0.866
P49840,0.478,0.192,0.201,0.634,0.047,0.895,0.785,0.041,0.796,0.156,0.364,0.503,0.478,0.112,0.163,0.079,0.013,0.242,0.092,0.011
P09619,0.865,0.709,0.477,0.849,0.831,0.98,0.711,0.775,0.902,0.947,0.882,0.458,0.784,0.899,0.829,0.884,0.683,0.936,0.797,0.922
P35916,0.96,0.745,0.277,0.975,0.94,1.0,0.863,0.53,0.886,0.994,0.945,0.967,0.951,0.757,0.88,0.948,0.759,0.956,0.855,0.992
Q16539,0.978,1.0,0.959,0.989,0.968,0.886,0.958,1.0,0.89,0.925,0.998,0.964,0.994,0.998,0.998,1.0,1.0,0.999,1.0,0.993
P11274,0.406,0.321,0.042,0.705,0.357,0.76,0.42,0.09,0.446,0.49,0.583,0.674,0.225,0.578,0.689,0.754,0.743,0.696,0.5,0.716
Q15303,0.606,0.65,0.804,0.612,0.736,0.954,0.446,0.604,0.766,0.075,0.98,0.635,0.466,0.918,0.651,0.876,0.709,0.861,0.859,0.759
P29376,0.806,0.201,0.071,0.835,0.337,0.619,0.377,0.287,0.8,0.787,0.276,0.882,0.812,0.622,0.469,0.652,0.715,0.875,0.775,0.356
P35968,0.982,0.898,0.475,0.999,0.932,0.998,0.878,0.661,0.896,0.997,0.929,0.994,0.991,0.972,0.977,0.994,0.946,0.998,0.993,0.975
P11309,0.341,0.086,0.205,0.245,0.182,0.604,0.15,0.115,0.611,0.422,0.586,0.111,0.208,0.127,0.141,0.369,0.315,0.241,0.222,0.03
O14965,0.58,0.0,0.0,0.885,0.357,0.889,0.39,0.005,0.495,0.978,0.126,0.847,0.596,0.591,0.442,0.704,0.849,0.853,0.419,0.632
O15146,0.564,0.796,0.52,0.586,0.414,0.723,0.586,0.57,0.497,0.838,0.682,0.69,0.645,0.684,0.755,0.733,0.802,0.738,0.638,0.615
Q9BWU1,0.346,0.38,0.107,0.815,0.108,0.474,0.453,0.055,0.753,0.206,0.298,0.576,0.559,0.175,0.142,0.188,0.054,0.475,0.173,0.033
O75582,0.757,0.066,0.253,0.588,0.73,0.862,0.779,0.67,0.783,0.701,0.609,0.19,0.403,0.201,0.328,0.798,0.907,0.453,0.365,0.326
Q92772,0.561,0.28,0.129,1.0,0.152,0.52,0.336,0.117,0.705,0.376,0.291,0.713,0.756,0.27,0.147,0.238,0.129,0.685,0.293,0.134
P08238,1.0,0.019,0.076,0.003,1.0,0.019,1.0,0.089,0.689,0.0,0.0,1.0,0.005,0.676,0.917,0.87,0.3,0.271,0.285,0.351
P29597,0.504,0.34,0.078,0.466,0.331,0.78,0.34,0.103,0.542,0.775,0.552,0.587,0.395,0.611,0.643,0.759,0.643,0.471,0.404,0.504
P54756,0.42,0.526,0.098,0.783,0.543,0.893,0.553,0.374,0.382,0.338,0.749,0.733,0.343,0.408,0.725,0.763,0.71,0.905,0.593,0.804
O75676,0.256,0.028,0.023,0.397,0.248,0.69,0.126,0.136,0.397,0.191,0.259,0.052,0.131,0.016,0.178,0.547,0.419,0.081,0.074,0.029
Q9H2K8,0.433,0.623,0.298,0.505,0.152,0.511,0.451,0.161,0.589,0.386,0.491,0.489,0.42,0.362,0.258,0.307,0.104,0.523,0.379,0.136
P41597,1.0,0.627,0.646,1.0,0.274,0.562,0.089,0.401,0.111,0.408,0.619,0.135,0.146,0.281,0.573,0.34,0.188,0.263,0.311,0.158
P28072,1.0,0.296,0.413,1.0,1.0,1.0,1.0,0.328,1.0,0.285,0.469,0.141,0.279,0.329,0.38,0.344,0.195,0.259,1.0,1.0
Q09013,0.094,0.334,0.274,0.111,0.064,0.232,0.151,0.052,0.202,0.055,0.157,0.09,0.041,0.102,0.072,0.151,0.045,0.076,0.065,0.013
P51451,0.647,0.412,0.179,0.709,0.551,0.929,0.511,0.28,0.806,0.648,0.802,0.847,0.603,0.894,0.636,0.924,0.821,0.872,0.807,0.556
P07948,0.551,0.871,0.294,0.777,0.495,0.91,0.78,0.443,0.57,0.483,0.902,0.783,0.359,0.899,0.932,0.938,0.832,0.879,0.783,0.804
Q9UL54,0.171,0.33,0.159,0.545,0.052,0.408,0.609,0.1,0.425,0.179,0.237,0.429,0.198,0.121,0.196,0.256,0.066,0.353,0.099,0.039
Q9Y2K2,0.178,0.234,0.105,0.153,0.223,0.553,0.109,0.134,0.392,0.092,0.267,0.016,0.062,0.354,0.183,0.27,0.205,0.198,0.106,0.251
P30291,0.143,0.095,0.051,0.481,0.278,0.544,0.186,0.242,0.381,0.056,0.344,0.011,0.091,0.047,0.122,0.123,0.209,0.42,0.032,0.135
O00506,0.308,0.713,0.763,0.176,0.306,0.449,0.25,0.465,0.278,0.222,0.638,0.249,0.12,0.425,0.316,0.564,0.266,0.383,0.477,0.334
Q8TBX8,1.0,0.773,0.565,1.0,0.706,1.0,0.43,0.838,0.597,0.603,0.838,0.659,0.681,0.582,0.572,0.899,0.909,1.0,0.635,0.715
Q96L34,0.097,0.069,0.009,0.311,0.214,0.851,0.156,0.079,0.219,0.157,0.044,0.024,0.065,0.278,0.347,0.186,0.129,0.087,0.047,0.273
P07333,0.893,0.985,0.93,0.789,0.95,0.994,0.856,0.941,0.857,0.979,0.954,0.887,0.856,0.968,0.908,0.981,0.968,0.866,0.974,0.952
Q15349,0.661,0.158,0.135,0.552,0.557,0.794,0.446,0.184,0.555,0.584,0.421,0.156,0.253,0.159,0.22,0.719,0.83,0.162,0.252,0.235
Q9UM73,0.405,0.332,0.208,0.424,0.294,0.553,0.641,0.407,0.59,0.392,0.398,0.194,0.171,0.145,0.206,0.465,0.361,0.271,0.238,0.086
P11362,0.45,0.105,0.007,0.926,0.367,0.938,0.435,0.104,0.405,0.852,0.236,0.812,0.688,0.463,0.71,0.892,0.708,0.727,0.606,0.529
Q96GD4,0.603,0.003,0.0,0.793,0.363,0.812,0.306,0.016,0.553,0.87,0.238,0.772,0.453,0.625,0.589,0.659,0.803,0.84,0.454,0.566
P22694,0.428,0.015,0.095,0.69,0.747,0.652,0.282,0.232,0.654,0.515,0.378,0.555,0.426,0.497,0.563,0.342,0.39,0.301,0.411,0.681
Q01959,0.075,0.309,0.6,0.061,0.121,0.143,0.164,0.106,0.053,0.272,0.242,0.184,0.291,0.224,0.14,0.201,0.263,0.091,0.262,0.211
P51956,0.115,0.018,0.037,0.394,0.211,0.713,0.257,0.321,0.245,0.038,0.345,0.002,0.059,0.011,0.075,0.226,0.341,0.173,0.023,0.024
P09874,1.0,0.376,0.007,1.0,1.0,1.0,0.444,0.613,1.0,1.0,0.696,0.888,1.0,0.953,0.86,0.684,1.0,0.849,0.621,0.826
P17948,1.0,0.511,0.247,0.982,0.989,0.997,0.809,0.605,0.982,0.996,0.948,0.986,0.995,0.982,0.81,0.976,0.986,0.992,0.983,0.959
Q02779,0.597,0.066,0.005,0.537,0.196,0.349,0.257,0.171,0.595,0.465,0.178,0.43,0.308,0.458,0.17,0.458,0.544,0.488,0.237,0.33
P50613,0.08,0.064,0.017,0.728,0.045,0.851,0.456,0.002,0.421,0.029,0.076,0.407,0.143,0.005,0.164,0.066,0.003,0.136,0.025,0.007
P08173,0.03,0.13,0.082,0.012,0.135,0.139,0.114,0.059,0.064,0.187,0.071,0.079,0.099,0.105,0.311,0.142,0.115,0.027,0.154,0.079
Q9Y2U5,0.468,0.204,0.234,0.285,0.608,0.842,0.39,0.293,0.326,0.406,0.584,0.399,0.147,0.66,0.512,0.713,0.706,0.291,0.395,0.565
Q13177,0.217,0.209,0.436,0.63,0.507,1.0,0.275,0.493,0.587,0.177,0.378,0.487,0.303,0.394,0.611,0.767,0.233,0.379,0.439,0.495
O00444,0.564,0.016,0.001,0.928,0.565,0.9,0.424,0.015,0.66,0.898,0.045,0.843,0.558,0.698,0.654,0.818,0.797,0.723,0.471,0.699
P29317,0.476,0.271,0.015,0.849,0.357,0.602,0.439,0.194,0.448,0.46,0.151,0.737,0.252,0.425,0.604,0.795,0.813,0.96,0.674,0.525
P07949,0.799,0.354,0.076,0.992,0.815,0.997,0.626,0.218,0.846,0.964,0.703,0.753,0.893,0.909,0.932,0.99,0.964,0.985,0.896,0.93
P36897,0.405,0.192,0.228,0.781,0.619,0.834,0.314,0.112,0.548,0.413,0.791,0.702,0.299,0.655,0.787,0.869,0.607,0.704,0.55,0.791
P57058,1.0,0.345,0.364,0.364,0.629,0.59,0.411,0.368,0.485,0.711,0.366,0.37,0.325,0.711,0.248,0.425,0.557,0.391,0.409,0.529
Q04912,0.683,0.691,0.375,0.718,0.441,0.72,0.502,0.532,0.857,0.901,0.784,0.626,0.771,0.78,0.694,0.858,0.754,0.829,0.721,0.7
P19784,0.334,0.158,0.02,0.432,0.07,0.36,0.065,0.053,0.47,0.286,0.442,0.038,0.209,0.035,0.171,0.308,0.475,0.326,0.067,0.027
Q07002,0.09,0.302,0.149,0.572,0.025,0.571,0.156,0.028,0.502,0.021,0.066,0.232,0.188,0.022,0.057,0.049,0.002,0.07,0.037,0.028
P08069,0.758,0.493,0.129,0.801,0.341,0.206,0.516,0.239,0.649,0.888,0.309,0.784,0.72,0.636,0.696,0.735,0.721,0.848,0.612,0.64
Q9H422,0.778,0.464,0.748,0.516,0.579,0.891,0.607,0.653,0.76,0.875,0.79,0.775,0.67,0.569,0.494,0.796,0.692,0.788,0.715,0.763
Q86V86,0.475,0.314,0.354,0.414,0.452,0.784,0.566,0.249,0.67,0.465,0.569,0.319,0.289,0.475,0.321,0.552,0.306,0.354,0.271,0.242
Q9H1R3,0.48,0.329,0.198,1.0,0.11,0.424,0.478,0.084,0.617,0.153,0.421,0.633,0.573,0.261,0.199,0.146,0.045,0.598,0.29,0.098
O43570,1.0,0.741,0.943,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.828,1.0,1.0,1.0,0.781,0.835,0.846,0.707,1.0,1.0
P08172,0.038,0.061,0.009,0.038,0.103,0.089,0.056,0.08,0.06,0.131,0.026,0.07,0.049,0.062,0.244,0.183,0.062,0.049,0.085,0.054
Q8N4C8,0.869,0.613,0.281,0.539,0.778,0.798,0.543,0.787,0.871,0.174,0.424,0.522,0.17,0.566,0.424,0.317,0.628,0.71,0.193,0.81
Q05397,0.31,0.045,0.005,0.596,0.191,0.854,0.491,0.097,0.358,0.394,0.214,0.151,0.091,0.029,0.235,0.667,0.728,0.352,0.116,0.091
P22607,0.633,0.407,0.085,0.808,0.438,0.882,0.505,0.15,0.571,0.937,0.502,0.893,0.701,0.65,0.71,0.83,0.823,0.771,0.621,0.459
P16083,0.206,0.562,0.44,0.157,0.241,0.514,0.094,0.412,0.4,0.52,0.525,0.017,0.233,0.399,0.366,0.355,0.227,0.217,0.346,0.244
Q13188,0.393,0.255,0.121,0.222,0.231,0.344,0.209,0.193,0.483,0.373,0.198,0.019,0.082,0.615,0.244,0.281,0.537,0.245,0.172,0.347
P08684,0.563,0.384,0.636,0.164,0.66,0.419,0.377,0.307,0.45,0.592,0.34,0.454,0.2,0.304,0.455,0.131,0.335,0.108,0.475,0.435
Q9UBN7,0.261,0.001,0.022,0.042,0.008,0.0,0.218,0.003,0.0,0.0,0.0,0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.016,0.016
P41240,0.646,0.918,0.415,0.547,0.514,0.409,0.538,0.852,0.356,0.08,0.121,0.415,0.189,0.699,0.671,0.884,0.877,0.764,0.491,0.599
P41743,1.0,0.317,0.425,1.0,1.0,0.58,1.0,1.0,1.0,1.0,0.656,1.0,1.0,0.699,1.0,0.335,1.0,0.606,1.0,1.0
P17252,0.361,0.034,0.038,0.409,0.376,0.691,0.159,0.199,0.684,0.489,0.149,0.419,0.338,0.431,0.28,0.364,0.284,0.368,0.423,0.206
P23458,0.804,0.409,0.229,0.81,0.931,0.983,0.568,0.324,0.836,0.901,0.849,0.833,0.608,0.871,0.705,0.969,0.915,0.776,0.728,0.946
P04626,0.765,0.95,0.952,0.847,0.878,0.975,0.724,0.892,0.883,0.119,0.999,0.847,0.718,0.948,0.871,0.958,0.917,0.961,0.962,0.894
Q9BY41,0.767,0.056,0.082,0.086,0.044,0.001,0.198,0.032,0.0,0.005,0.0,0.009,0.021,0.004,0.0,0.0,0.0,0.001,0.089,0.078
Q9NSY1,0.3,0.041,0.009,0.204,0.148,0.542,0.189,0.027,0.384,0.421,0.311,0.32,0.127,0.522,0.258,0.335,0.422,0.253,0.183,0.239
Q16665,0.055,0.037,0.036,0.105,0.16,0.261,0.169,0.046,0.112,0.153,0.045,0.233,0.245,0.262,0.109,0.154,0.067,0.045,0.023,0.117
P15056,1.0,0.996,0.933,1.0,0.951,0.471,1.0,0.99,0.755,0.66,0.013,0.883,0.792,0.868,0.982,0.919,0.985,0.983,0.93,0.825
O14976,0.438,0.447,0.372,0.498,0.542,0.932,0.578,0.533,0.773,0.032,0.861,0.089,0.095,0.388,0.378,0.566,0.424,0.601,0.27,0.316
Q9BUB5,0.475,0.816,0.768,0.59,0.671,0.889,0.421,0.623,0.643,0.164,0.916,0.565,0.466,0.758,0.588,0.793,0.575,0.755,0.695,0.597
P25440,1.0,0.156,0.593,0.578,1.0,1.0,1.0,1.0,1.0,0.404,0.062,1.0,1.0,1.0,0.82,0.573,0.559,1.0,0.315,1.0
Q9UKE5,0.54,0.917,0.434,0.372,0.5,0.79,0.265,0.559,0.431,0.575,0.827,0.061,0.242,0.749,0.724,0.745,0.672,0.544,0.534,0.573
Q06418,0.533,0.846,0.766,0.421,0.548,0.758,0.355,0.754,0.521,0.593,0.769,0.546,0.422,0.747,0.527,0.763,0.583,0.676,0.714,0.568
P29322,0.491,0.653,0.189,0.564,0.34,0.503,0.355,0.565,0.647,0.444,0.695,0.666,0.474,0.815,0.564,0.77,0.669,0.83,0.828,0.603
P06241,0.53,0.528,0.091,0.769,0.506,0.699,0.598,0.265,0.407,0.35,0.32,0.748,0.235,0.821,0.912,0.864,0.868,0.781,0.666,0.784
P18089,0.017,0.276,0.578,0.032,0.078,0.1,0.073,0.048,0.041,0.127,0.169,0.081,0.055,0.146,0.244,0.12,0.098,0.029,0.18,0.066
Q8TDR2,0.404,0.885,0.624,0.407,0.301,0.773,0.477,0.361,0.632,0.392,0.655,0.445,0.342,0.463,0.449,0.713,0.387,0.48,0.441,0.231
Q9UIK4,0.251,0.063,0.068,0.274,0.356,0.778,0.566,0.435,0.301,0.213,0.326,0.074,0.096,0.058,0.109,0.426,0.448,0.147,0.116,0.094
Q86Y07,0.1,0.334,0.301,0.114,0.072,0.239,0.169,0.05,0.202,0.036,0.159,0.089,0.036,0.092,0.076,0.161,0.036,0.076,0.066,0.015
P08581,0.281,0.197,0.115,0.92,0.356,0.801,0.267,0.36,0.817,0.677,0.27,0.937,0.773,0.541,0.34,0.387,0.94,0.724,0.69,0.639
Q8IYT8,0.184,0.773,0.641,0.169,0.153,0.658,0.522,0.192,0.242,0.158,0.393,0.172,0.08,0.209,0.364,0.362,0.141,0.187,0.117,0.073
Q9UBF8,0.57,0.736,0.499,0.503,0.554,0.883,1.0,0.719,0.681,0.601,0.811,0.709,0.49,0.594,0.574,0.924,0.535,0.759,0.697,0.779
Q9H0K1,0.669,0.521,0.11,0.704,0.599,0.904,0.427,0.231,0.748,0.477,0.471,0.202,0.388,0.695,0.806,0.897,0.653,0.719,0.373,0.8
P49759,0.207,0.152,0.122,0.489,0.222,0.836,0.438,0.226,0.886,0.223,0.234,0.207,0.137,0.049,0.177,0.463,0.061,0.425,0.218,0.189
Q9Y6R4,0.211,0.264,0.168,0.565,0.344,0.599,0.301,0.46,0.502,0.05,0.608,0.031,0.136,0.209,0.21,0.363,0.603,0.612,0.098,0.229
O94804,0.765,0.644,0.13,0.681,0.645,0.822,0.515,0.244,0.775,0.841,0.776,0.672,0.484,0.816,0.644,0.85,0.914,0.728,0.519,0.806
Q92731,0.584,1.0,0.985,0.285,1.0,0.827,0.709,0.678,1.0,0.873,0.927,0.613,0.848,0.738,1.0,0.707,0.766,0.571,1.0,1.0
P62942,1.0,0.761,0.884,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.257,1.0,1.0,1.0,0.786,1.0,1.0,1.0,1.0
P42685,0.792,0.976,0.576,0.932,0.849,0.99,0.843,0.771,0.694,0.88,0.876,0.975,0.781,0.932,0.938,0.971,0.946,0.979,0.977,0.875
Q8IVH8,0.367,0.201,0.083,0.201,0.181,0.332,0.133,0.164,0.445,0.422,0.155,0.012,0.095,0.569,0.176,0.271,0.417,0.237,0.154,0.313
O75716,0.405,0.162,0.038,0.517,0.219,0.726,0.623,0.147,0.415,0.748,0.258,0.448,0.335,0.44,0.46,0.552,0.606,0.521,0.262,0.437
P35354,1.0,0.735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.64,0.698,1.0,1.0,1.0,1.0
P16591,0.391,0.207,0.034,0.871,0.571,0.931,0.296,0.038,0.548,0.574,0.248,0.795,0.274,0.596,0.718,0.625,0.616,0.653,0.465,0.58
P07947,0.519,0.425,0.055,0.671,0.41,0.756,0.64,0.145,0.381,0.38,0.612,0.547,0.135,0.801,0.784,0.883,0.888,0.637,0.465,0.779
P51617,0.197,0.863,0.666,0.178,0.166,0.38,0.347,0.259,0.259,0.049,0.09,0.235,0.069,0.344,0.502,0.363,0.251,0.3,0.283,0.074
Q52WX2,0.345,0.864,0.724,0.265,0.437,0.77,0.742,0.467,0.262,0.317,0.656,0.322,0.279,0.447,0.761,0.564,0.417,0.345,0.351,0.445
O00519,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.834,1.0,1.0,1.0,1.0
P04035,1.0,1.0,0.866,1.0,1.0,0.624,1.0,0.724,1.0,1.0,1.0,1.0,1.0,1.0,0.564,0.926,0.734,1.0,1.0,1.0
Q9P286,0.176,0.165,0.47,0.521,0.487,1.0,0.208,0.379,0.496,0.239,0.368,0.38,0.419,0.339,0.55,0.532,0.145,0.271,0.311,0.395
Q9UPZ9,0.088,0.231,0.12,0.568,0.012,0.523,0.286,0.012,0.733,0.011,0.147,0.257,0.182,0.004,0.036,0.015,0.0,0.109,0.019,0.002
Q9Y616,0.249,0.358,0.113,0.214,0.143,0.855,0.171,0.162,0.446,0.304,0.621,0.217,0.239,0.129,0.306,0.322,0.189,0.481,0.202,0.228
P52732,0.112,0.001,0.015,0.394,0.007,0.023,0.039,0.025,0.366,0.007,0.113,0.027,0.202,0.002,0.002,0.04,0.178,0.069,0.038,0.001
Q9HAZ1,0.563,0.289,0.271,0.748,0.496,0.978,0.56,0.309,0.891,0.534,0.411,0.487,0.603,0.261,0.463,0.381,0.109,0.468,0.33,0.443
Q9BQI3,0.306,0.757,0.706,0.337,0.289,0.647,0.333,0.294,0.523,0.312,0.155,0.377,0.21,0.348,0.259,0.584,0.226,0.374,0.301,0.123
Q16832,0.748,0.958,0.556,0.858,0.685,0.939,0.806,0.768,0.592,0.976,0.887,0.919,0.794,0.864,0.963,0.976,0.972,0.95,0.966,0.907
P21802,0.709,0.758,0.326,0.852,0.589,0.914,0.625,0.417,0.63,0.949,0.875,0.921,0.799,0.682,0.88,0.942,0.97,0.917,0.704,0.854
Q08345,0.806,0.881,0.398,0.919,0.789,0.974,0.848,0.703,0.74,0.947,0.904,0.914,0.843,0.936,0.938,0.982,0.989,0.988,0.966,0.936
Q8NE63,0.636,0.217,0.418,0.465,0.642,0.954,0.491,0.542,0.617,0.506,0.807,0.643,0.429,0.861,0.495,0.597,0.507,0.646,0.677,0.674
Q05513,1.0,0.32,0.414,1.0,1.0,0.586,1.0,1.0,1.0,1.0,0.615,1.0,1.0,0.676,1.0,0.31,1.0,0.566,1.0,1.0
Q13557,0.208,0.383,0.234,0.424,0.312,0.662,0.094,0.309,0.448,0.411,0.372,0.024,0.218,0.19,0.318,0.408,0.283,0.213,0.234,0.111
Q12852,0.458,0.585,0.402,0.355,0.231,0.389,0.269,0.325,0.495,0.54,0.482,0.457,0.303,0.556,0.44,0.625,0.587,0.592,0.583,0.442
P17612,0.445,0.004,0.039,0.559,0.532,0.708,0.302,0.217,0.838,0.661,0.236,0.397,0.493,0.477,0.366,0.385,0.315,0.372,0.441,0.408
P14867,1.0,0.046,0.032,1.0,0.228,0.335,0.086,0.075,1.0,1.0,0.071,1.0,1.0,0.177,0.099,0.381,1.0,1.0,0.373,0.067
P00519,0.471,0.342,0.051,0.803,0.463,0.875,0.564,0.209,0.493,0.262,0.376,0.363,0.237,0.659,0.749,0.806,0.844,0.825,0.594,0.522
Q8N5S9,0.316,0.075,0.091,0.368,0.232,0.641,0.381,0.142,0.664,0.214,0.189,0.075,0.138,0.026,0.045,0.336,0.237,0.131,0.073,0.024
Q04771,0.255,0.517,0.328,0.431,0.365,0.782,0.554,0.228,0.308,0.497,0.62,0.597,0.381,0.472,0.832,0.682,0.572,0.552,0.465,0.533
Q15910,1.0,1.0,0.755,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.489,0.699,1.0,1.0,1.0
P04049,0.872,0.998,0.863,1.0,0.905,0.741,1.0,0.984,0.79,0.765,0.152,0.913,0.863,0.921,0.996,0.978,0.993,0.986,0.948,0.858
P06213,0.685,0.804,0.423,0.692,0.605,0.644,0.777,0.556,0.497,0.712,0.662,0.585,0.553,0.659,0.891,0.839,0.641,0.733,0.623,0.723
Q9H2K2,1.0,0.332,0.171,0.334,0.608,0.584,0.171,0.365,0.475,0.738,0.338,0.353,0.327,0.715,0.255,0.495,0.758,0.372,0.397,0.529
O75385,0.349,0.81,0.663,0.304,0.418,0.782,0.407,0.569,0.332,0.432,0.188,0.033,0.229,0.546,0.672,0.555,0.524,0.336,0.189,0.448
O60331,1.0,0.655,0.507,1.0,1.0,1.0,1.0,0.634,0.35,0.435,0.723,0.382,0.471,0.521,0.592,1.0,0.71,1.0,0.423,0.463
P21860,0.524,0.964,0.836,0.396,0.581,0.747,0.57,0.755,0.591,0.216,0.935,0.54,0.458,0.879,0.682,0.953,0.691,0.696,0.845,0.681
P49841,0.401,0.439,0.41,0.713,0.14,0.919,0.637,0.069,0.89,0.178,0.071,0.453,0.484,0.191,0.354,0.09,0.012,0.25,0.15,0.081
Q9UNQ0,0.045,0.006,0.003,0.076,0.095,0.183,0.225,0.016,0.079,0.045,0.008,0.103,0.052,0.254,0.029,0.196,0.058,0.019,0.003,0.104
P78356,0.418,0.204,0.164,0.298,0.277,0.428,0.447,0.193,0.359,0.637,0.263,0.261,0.252,0.536,0.388,0.311,0.48,0.302,0.377,0.403
Q9P2K8,0.422,0.667,0.489,0.248,0.578,0.496,0.52,0.607,0.29,0.213,0.193,0.308,0.093,0.629,0.455,0.587,0.572,0.385,0.368,0.441
P10275,0.593,0.962,0.984,1.0,1.0,1.0,0.623,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.866,0.88,1.0,1.0,1.0,1.0
Q13546,0.722,0.762,0.598,0.711,0.398,0.506,0.432,0.451,0.716,0.933,0.649,0.793,0.807,0.661,0.644,0.771,0.821,0.845,0.786,0.635
P36896,0.514,0.273,0.249,0.849,0.723,0.931,0.494,0.164,0.393,0.708,0.248,0.807,0.346,0.695,0.931,0.796,0.728,0.675,0.724,0.914
P27361,1.0,0.677,0.977,1.0,1.0,0.341,1.0,1.0,1.0,0.105,0.012,0.591,0.397,0.691,0.801,0.088,0.273,1.0,0.81,1.0
P45984,1.0,0.884,0.496,1.0,0.926,0.64,0.535,0.692,0.784,0.522,0.065,0.863,0.75,0.92,0.926,0.522,0.83,0.884,0.848,0.948
Q02750,0.872,0.993,0.975,0.821,0.832,0.288,1.0,0.845,0.832,0.15,0.001,0.801,0.767,0.933,0.969,0.991,0.902,0.924,0.898,0.92
P42684,0.203,0.479,0.131,0.731,0.38,0.848,0.433,0.248,0.443,0.178,0.397,0.671,0.18,0.714,0.762,0.759,0.569,0.657,0.567,0.632
O15379,0.927,0.059,0.112,0.194,0.273,0.016,0.203,0.178,0.003,0.058,0.001,0.046,0.071,0.012,0.003,0.001,0.001,0.02,0.201,0.303
Q9UF33,0.814,0.972,0.976,0.787,0.895,0.98,0.761,0.868,0.857,0.535,0.978,0.833,0.796,0.942,0.913,0.912,0.871,0.938,0.93,0.875
Q9Y6E0,0.199,0.798,0.528,0.361,0.263,0.848,0.191,0.376,0.489,0.304,0.355,0.051,0.21,0.444,0.541,0.514,0.182,0.239,0.359,0.324
