,BT-549,CAL-148,CAL-51,HCC1937,Hs-578T,MDA-MB-231,MDA-MB-436,MDA-MB-468,CAL-120,CAL-85-1,DU-4475,HCC1143,HDQ-P1,MFM-223,BT-20,HCC-1187,HCC-1395,HCC-1806,HCC-38,HCC-70
Q16288,0.06428571045398712,5.300000190734863,9.785714149475098,0.1071428582072258,1.1357142925262451,1.5214284658432007,0.6499999761581421,1.571428656578064,0.11428571492433548,0.6857142448425293,3.7857143878936768,0.2214285433292389,0.285714328289032,1.1714285612106323,1.764285683631897,1.557142972946167,0.6999999284744263,0.3857142925262451,0.9785714745521545,0.9857143759727478
P54764,0.9666667580604553,12.255556106567383,17.311111450195312,0.5333333611488342,1.7222222089767456,1.1222223043441772,1.2222222089767456,3.8888888359069824,1.0333333015441895,4.255556106567383,5.755555629730225,0.9777777194976807,2.6999998092651367,2.788888931274414,2.8777778148651123,2.066666603088379,1.788888931274414,1.0444445610046387,3.0444443225860596,1.4555555582046509
O43353,0.18928572535514832,4.0321431159973145,5.917856693267822,0.15357141196727753,0.43214288353919983,0.8785714507102966,0.28214287757873535,0.5714285969734192,0.2928571403026581,3.2142860889434814,3.7071430683135986,0.3214285671710968,0.6357142329216003,0.8249999284744263,0.9749999642372131,0.7785714864730835,0.4892857074737549,0.21785713732242584,0.6499999761581421,0.24642857909202576
P48736,0.4714285731315613,10.842856407165527,11.821427345275879,0.9357143044471741,1.6357142925262451,2.7857143878936768,0.09285713732242584,1.6928571462631226,1.8000000715255737,3.5142855644226074,4.771428108215332,0.8785713911056519,2.2571427822113037,3.692857265472412,4.507143020629883,2.8214287757873535,4.3428568840026855,1.8928571939468384,1.7000000476837158,1.0928571224212646
P06239,0.5578947067260742,8.831579208374023,11.892105102539062,0.4289473593235016,1.247368335723877,1.2684210538864136,0.8894736766815186,2.4552628993988037,0.7315789461135864,3.700000047683716,4.4052629470825195,1.0421051979064941,1.610526204109192,2.1526317596435547,2.481579542160034,2.450000047683716,1.7000001668930054,1.3105263710021973,2.6131579875946045,1.0710527896881104
P43405,0.9142856597900391,9.528571128845215,15.671427726745605,0.7142857313156128,1.7571427822113037,1.5,2.0142858028411865,2.8714287281036377,0.9142857193946838,6.72857141494751,4.099999904632568,3.2285711765289307,2.971428394317627,3.2571427822113037,4.5,3.1571426391601562,1.5571428537368774,2.357142925262451,5.514285564422607,1.7571429014205933
Q13523,0.6000000238418579,7.400000095367432,9.359999656677246,1.3600000143051147,1.3199999332427979,1.2799999713897705,0.4399999976158142,2.4200000762939453,1.3399999141693115,2.6599998474121094,5.900000095367432,1.5,2.4000000953674316,2.1399998664855957,3.299999952316284,3.5400002002716064,2.120000123977661,3.379999876022339,4.079999923706055,1.2200000286102295
Q15375,0.5600000619888306,8.610000610351562,15.040000915527344,0.0,0.6700000166893005,0.20000000298023224,0.9600000381469727,3.1700000762939453,0.8300000429153442,1.6400001049041748,3.1600000858306885,0.24000000953674316,1.1999999284744263,2.000000238418579,0.7900000214576721,1.8100000619888306,0.6699999570846558,0.8700000643730164,2.419999837875366,0.22999998927116394
P29320,0.4000000059604645,3.0,10.542856216430664,0.6142857670783997,1.100000023841858,1.2571429014205933,0.9428571462631226,0.6714285612106323,0.4714285731315613,3.885714054107666,2.500000238418579,1.014285683631897,1.542857050895691,1.0714285373687744,1.8999998569488525,1.2285715341567993,1.1714285612106323,0.9000000357627869,1.914285659790039,0.6142857670783997
P21127,0.9599999189376831,11.799999237060547,18.119998931884766,0.0,5.0,3.679999828338623,1.0799999237060547,5.340000152587891,0.17999999225139618,7.0,8.059999465942383,0.800000011920929,1.4600000381469727,7.1399993896484375,8.760000228881836,6.259999752044678,10.15999984741211,2.120000123977661,6.679999351501465,4.380000114440918
O43293,0.6000000238418579,11.825000762939453,9.912500381469727,0.4624999761581421,1.100000023841858,0.05000000074505806,0.08750000596046448,0.737500011920929,0.6875,3.137500047683716,2.4625000953674316,1.6375000476837158,1.3499999046325684,5.199999809265137,2.987499952316284,2.0,1.4874999523162842,1.8874999284744263,3.362499952316284,2.0
O75914,0.637499988079071,6.5,10.212499618530273,0.4750000238418579,0.925000011920929,0.7999999523162842,0.9874999523162842,2.1125001907348633,0.3499999940395355,3.5,5.91249942779541,1.1750000715255737,1.8374998569488525,2.1625001430511475,2.549999952316284,2.325000047683716,3.0,2.6500000953674316,3.4124999046325684,0.8125
P57078,0.14999999105930328,6.899999618530273,11.016666412353516,0.25,1.6666666269302368,2.816666603088379,0.8999999165534973,1.9833334684371948,0.31666669249534607,2.200000047683716,4.099999904632568,0.6166666150093079,0.9166667461395264,1.783333420753479,1.8666667938232422,1.600000023841858,0.46666666865348816,0.6666666865348816,2.3333332538604736,0.7500000596046448
P22612,1.6999999284744263,12.166666984558105,17.766666412353516,0.03333333507180214,1.4666666984558105,0.0,3.5,5.700000286102295,1.0,6.099999904632568,8.533332824707031,0.800000011920929,1.899999976158142,3.1666667461395264,1.6666666269302368,3.200000047683716,6.0,5.5333333015441895,4.433333396911621,1.2333333492279053
Q13163,0.581818163394928,7.900001049041748,9.918181419372559,0.5545454025268555,1.3227273225784302,2.077272653579712,0.9454545974731445,2.5727274417877197,0.7045454978942871,4.731818675994873,6.50454568862915,1.4727272987365723,1.6590908765792847,2.018181800842285,2.4454543590545654,2.654545545578003,2.3090908527374268,1.7681816816329956,3.4454545974731445,1.5045453310012817
Q13976,0.637499988079071,16.337499618530273,11.925000190734863,0.5499999523162842,0.800000011920929,0.875,1.024999976158142,2.137500047683716,0.3125,3.200000047683716,6.099999904632568,0.9750000238418579,1.3624999523162842,3.4125001430511475,2.5625,3.2249999046325684,3.012500047683716,2.6625001430511475,2.7875001430511475,0.7749999761581421
P00533,0.22142855823040009,5.564285755157471,5.846428394317627,0.3107143044471741,0.44285711646080017,0.5321428179740906,0.6321429014205933,1.0714285373687744,0.2142857164144516,4.650000095367432,1.7857141494750977,0.5285714268684387,0.875,0.7642856240272522,1.8678570985794067,1.6000001430511475,1.125,0.5321428775787354,0.9000000357627869,0.6107142567634583
Q5VT25,0.0,13.949999809265137,15.25,0.0,0.44999998807907104,0.20000000298023224,1.399999976158142,0.05000000074505806,0.0,1.7000000476837158,3.6500000953674316,0.0,0.15000000596046448,1.0999999046325684,2.450000047683716,3.0,0.0,0.0,0.800000011920929,0.05000000074505806
P32298,0.5571428537368774,9.600000381469727,13.385713577270508,0.9714285731315613,1.914285659790039,2.885714054107666,0.6857143044471741,2.857142925262451,1.0714285373687744,2.799999713897705,6.185713768005371,1.3000000715255737,2.142857074737549,2.1857142448425293,3.200000047683716,3.171428680419922,1.6571427583694458,2.414285659790039,4.0,1.3285714387893677
P04629,0.9333333373069763,10.980000495910645,16.239999771118164,0.6333333253860474,2.046666383743286,1.3133333921432495,1.1733334064483643,3.179999828338623,1.193333387374878,2.68666672706604,6.033332824707031,1.9600001573562622,1.9266666173934937,2.7666666507720947,2.7866666316986084,3.0466666221618652,1.9333335161209106,1.8400001525878906,3.93999981880188,1.2333334684371948
Q06187,0.8199999332427979,9.093334197998047,12.90666675567627,0.7400000095367432,1.4199999570846558,1.3799999952316284,1.3200000524520874,2.879999876022339,0.95333331823349,5.900000095367432,4.119999885559082,1.1133332252502441,2.173333168029785,2.2333333492279053,2.926666736602783,2.253333568572998,1.7599999904632568,1.840000033378601,2.7266664505004883,1.4466665983200073
P36888,0.4809524118900299,8.20714282989502,11.890478134155273,0.550000011920929,1.4547617435455322,1.4571428298950195,1.1857141256332397,2.2095236778259277,0.7166666984558105,2.700000047683716,3.654761552810669,1.3547619581222534,1.4047619104385376,2.645237922668457,2.6023812294006348,1.980952501296997,1.7976188659667969,1.447619080543518,2.6666667461395264,1.197619080543518
Q13233,1.2166666984558105,10.850001335144043,20.5,1.100000023841858,3.4499998092651367,6.566666126251221,3.2833335399627686,4.133333683013916,3.0,6.350000381469727,10.866665840148926,2.633333444595337,3.933333396911621,8.466666221618652,4.933333396911621,2.933333396911621,2.549999952316284,3.0333335399627686,5.150000095367432,4.333333492279053
